,Projects,Unit in charge,Expected Activities ,Allocated Budget,Total Spended Budget,KPI, Total Actual Performance,Targeted Performance,Activities performed,Department,Cost,Level of Achievement by Dep.
19,تحسين الحضور الجامعي الدولي ,,,,,CB,34.0,,cv,Information Technology,,
18,تحسين الحضور الجامعي الدولي ,البحث والابتكار ,C,,,CA,20.0,,d,CS,,
27,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,وحدة البحث والابتكار,,5000000,,"معدل البحوث المنشورة لكل عضو هيئة تدريس
",,,,,,
28,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,نسبة التمويل الخارجي للبحوث,,,,,,
29,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,نسبة الطلاب المشاركين في البحث العلمي,,,,,,
30,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,نسبة الميزانية المخصصة للبحث العلمي  ,,,,,,
25,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,النسبة المئوية للنشر العلمي لاعضاء هيئة التدريس,,,,,,
26,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,معدل الاقتباسات في المجالات المحكمه  لكل عضو هيئة تدريس,,,,,,
31,تشجيع ودعم الانشطة اللامنهجية والنوادي الطلابية ,وحدة الخدمة المجتمعية والانشطة الطلابية ,E,590500,,"رضا الطلاب عن الأنشطة اللاصفية

 ",,,,,,
32,تشجيع ودعم الانشطة اللامنهجية والنوادي الطلابية ,,,,,عدد الأنشطة اللاصفية,,,,,,
35,تطبيق برامج علمية معتمدة ومبتكرة,,,,,3-students evaluation of the quality of the courses.,,,,,,
33,تطبيق برامج علمية معتمدة ومبتكرة,وحدة المناهج ,,450000,,"1-graduates employability and enrolment in postgraduate.


",,,,,,
34,تطبيق برامج علمية معتمدة ومبتكرة,,,,,2-the percentage of updated curricula at the end of the project,,,,,,
36,تعزيز التواصل الداخلي والخارجي,الاستاذ احمد النغيمش,,,,,,,,,,
37,تعزيز الكفاءة المؤسسية ,د. نسرين عناب,,50000,,معدل رضى المستفيدين,,,,,,
38,تعزيز الكفاءة المؤسسية ,,,,,نسبة الإلتزام المالي (الإنحرافات المالية للموازنة)  ,,,,,,
39,تقديم برامج تمويل تعليم للطلبة,,,,,عدد الجهات المانحة,,,,,,
40,تقديم برامج تمويل تعليم للطلبة,د. منصور الراجح,,50,,"نسبة الطلبة الحاصلين على منح دراسية من خارج الجامعة
",,,,,,
43,تقديم رخص مهنية معتمدة للخرجين,,,,,نسبة تخرج طلاب البكالوريوس في المدة المحددة (فصلي),,,,,,
42,تقديم رخص مهنية معتمدة للخرجين,وحدة المحاكاة والتصنيف المهني ,D,1100000,,"مستوى ادار الطلبة في الاختبارات المهنية (شهري )
",,,,,,
41,تقديم رخص مهنية معتمدة للخرجين,,,,,مستوى اداء الطلبة في الاختبارات الشاملة (فصلي),,,,,,
44,تقديم شهادات مهنية احترافية لتلبية احتيجات متطلبات سوق العمل المحددة ,د. منصور الراجح,,,,,,,,,,
47,تقيم وتحسين مخرجات التعلم ,,,,,gradution  rates,,,B,Nurse,,
48,تقيم وتحسين مخرجات التعلم ,,,,,prcentage of graduates pass rate in professional licencing exams,,,C,EMS,,
49,تقيم وتحسين مخرجات التعلم ,,,,,,,,E,Respiratory,,
45,تقيم وتحسين مخرجات التعلم ,,,,,AB,42.0,,D,CS,,
51,تقيم وتحسين مخرجات التعلم ,,,,,,,,F,Health Information System,,
46,تقيم وتحسين مخرجات التعلم ,وحدة المناهج ,A,200000,0,employer satyisfaction sarveys,,,A,CS,,
50,تقيم وتحسين مخرجات التعلم ,,,,,,,,A,Information Technology,,
52,دعم التعاون و التبادل المعرفي الداخلي والخارجي ,د. فيص الغياض,,,,,,,,,,
53,زيادة وتحسين الاعتماد المؤسسي والبرامجي,وحدة الجودة,,,,,,,,,,
54,وضع خطط استراتيجية شخصية لمنسوبي الجامعة ,د. نازك زكري,,400000,,نسبة  أعضاء هيئة التدريس والموظفين الإداريين الذين أتموا إعداد خطط التطوير الشخصية ,,,,,,
55,وضع خطط استراتيجية شخصية لمنسوبي الجامعة ,,,,,نسبة الإنجاز في تنفيذ الخطط الشخصية للتطوير,,,,,,
